Kode_Kabkot,Nama_Kabkot,Ibukota,Jml_pddk
32.01,Kab. Bogor,Cibinong,6088233
32.02,Kab. Sukabumi,Palabuhanratu,2470219
32.03,Kab. Cianjur,Cianjur,2264328
32.04,Kab. Bandung,Soreang,3831505
32.05,Kab. Garut,Tarogong Kidul,2636637
32.06,Kab. Tasikmalaya,Singaparma,1755710
32.07,Kab. Ciamis,Ciamis,1201685
32.08,Kab. Kuningan,Kuningan,1087105
32.09,Kab. Cirebon,Sumber,2209633
32.1,Kab. Majalengka,Majalengka,1210709
32.11,Kab. Sumedang,Sumedang Utara,1154428
32.12,Kab. Indramayu,Indramayu,1737624
32.13,Kab. Subang,Subang,1612576
32.14,Kab. Purwakarta,Purwakarta,971889
32.15,Kab. Karawang,Karawang Barat,2370488
32.16,Kab. Bekasi,Cikarang Pusat,3899017
32.17,Kab. Bandung Barat,Ngamprah,1714982
32.18,Kab. Pangandaran,Parigi,401493
32.71,Kota Bogor,Bogor,1126927
32.72,Kota Sukabumi,Sukabumi,330691
32.73,Kota Bandung,Bandung,2510103
32.74,Kota Cirebon,Cirebon,322322
32.75,Kota Bekasi,Bekasi,3075690
32.76,Kota Depok,Depok,2484186
32.77,Kota Cimahi,Cimahi,620393
32.78,Kota Tasikmalaya,Tasikmalaya,663986
32.79,Kota Banjar,Martapura,183299